,transcipt,speakers,file,batch,start,end,start_rounded,end_rounded,log_mean_pitch,log_stdev_pitch,pitch_rate_of_change_log_variance,pitch_2_percentile,pitch_25_percentile,pitch_50_percentile,pitch_75_percentile,pitch_98_percentile,word_count,duration
0,"Mr. Silbert, I want to pick up on that very last thing you said but look at it from a different perspective. What independent role do you think international comity plays, given the fact that you already have whether unchallenged forum non convenience grounds and act of state grounds, what is the independent significance of international comity?",John_G_Roberts_Jr,18-1447,0,1.3590500005e+02,161.165,136,161,5.414151318618399,0.31357664172676697,0.0015429017236168335,155.56349186104043,187.14677540918822,202.90956258890662,237.15608026942812,560.1606742656418,57,25.25999994999998
1,"Yes, thank you, Mr. Chief Justice. Counsel, I just -- and perhaps a somewhat preliminary question and a bit different from the Chief. If we come out -- if we reverse in the following case, in Germany's, hypothetically, what should we do with your case?",Clarence_Thomas,18-1447,1,226.01999995,244.535,226,245,4.585400160814836,0.03167511447016448,0.0005864325705184121,93.83433259874185,94.6606580968763,97.99885899543732,100.28947374140385,103.08548749827928,45,18.515000049999998
2,"I'd like to -- to pick up on that last question. One, as the Chief, I think, brought up, how do we know that comity is a separate doctrine rather than, say, a -- a motivating principle underlying a bunch of other doctrines, like foreign non conveniens and -- and exhaustion and sovereign immunity and abstention? And if we -- if it is a separate doctrine, what exactly does it consist of? Do you prefer the Ninth Circuit, which has five factors? I -- Estreicher and Lee are good international law professors, suggest four factors. And maybe you have some other factors.",Stephen_G_Breyer,18-1447,2,381.32,421.655,381,422,5.013999690743925,0.27377729803023626,0.0008111427673210464,108.73654223881857,122.75968568932456,138.59131548843604,169.15465435426478,291.7439081433054,102,40.33499999999998
3,"Section 1606 on which you rely makes a foreign state ""liable in the same manner and to the same extent as a private individual under like circumstances."" The -- your friend on the other side says this concerns substantive liability rather than threshold federal common law defenses. Why isn't that a -- a reading that's more faithful to the statutory text?",Samuel_A_Alito_Jr,18-1447,3,529.87499995,561.44,530,561,4.958728872304835,0.14419098392989899,0.001198742526180343,113.87914162255151,125.99293818692934,140.20166900511882,151.1374225197194,190.90339884302165,61,31.565000050000094
4,"One other question. If we were to rule, hypothetically, and this is just hypothetical, that -- in favor of Germany on the jurisdictional issue, wouldn't the plaintiffs in this case still have an argument based on their claim of denaturalization?",Samuel_A_Alito_Jr,18-1447,4,626.835,646.14000005,627,646,5.800111585089823,0.8421174780220249,0.0007015319902950702,124.90548719779652,145.9866916572425,244.1052838549259,793.1004070975306,968.5608109549663,40,19.30500004999999
5,"Counsel -- counsel, I -- I don't understand how if in the following case hypothetically we were to decide there's no jurisdiction, what power would we have, essentially, to give an advisory opinion on this international comity doctrine? I thought no jurisdiction meant just that, that we don't have the power to decide anything?",Sonia_Sotomayor,18-1447,5,679.57,707.355,680,707,5.535664157545444,0.19390850037556928,0.0018650836368896383,174.93978591991595,226.44649206156825,251.98587637385867,281.62160801947965,375.03075938224566,54,27.784999999999968
6,"I thought that -- counsel, I understand that principle, but this is something different. We have already decided we have no -- we would have already decided we have no jurisdiction, so having made that decision, how would this become nothing more than an advisory opinion?",Sonia_Sotomayor,18-1447,6,723.42,742.685,723,743,5.426984298087917,0.2077497927558831,0.0019878464266729723,158.3194769274192,193.74649219115264,226.44649206156825,258.62053938239393,376.4184460907056,46,19.264999999999986
7,"-- one final point. As I read the record below, it appeared that this prudential international comity doctrine was not really the focus of your argument in briefing. It seemed to me that the focus was on the -- that Respondents have to exhaust their remedy. This -- what you've raised before us seems like a very different tact.",Sonia_Sotomayor,18-1447,7,751.91,783.47,752,783,5.569503684408232,0.3423995358038428,0.0026797755778266213,173.12845519343747,213.73702705379327,242.6993408760242,286.9574553484241,954.1196458652481,59,31.56000000000006
8,"Mr. Silbert, you've referred a couple of times now to the historical basis of the comity doctrine. There's an amicus brief by Professors Dodge and Gardner that takes you on on that and that says that all the various cases that you've cited fall into one of two categories: some are immunity cases and some are forum non conveniens cases, and that there's really no historical basis for this separate international comity. So I think I'd like you to respond to -- to that brief.",Elena_Kagan,18-1447,8,820.61,853.685,821,854,5.517764533928692,0.4158856829549779,0.0013401376656633236,161.0494265540188,194.86885420251932,213.73702705379327,258.62053938239393,825.8254370706059,85,33.07499999999993
9,"You said you're not -- we're not going back to the old immunity doctrine, the one that was supposed to have been displaced by the FSIA, because that was executive-driven. But I would think the fact that it was executive-driven would cut the other way. At least the executive knew something about foreign affairs and were politically accountable. And -- and it seems like much of the unhappiness about that doctrine had to do with the fact that it was a kind of kitchen sink approach and nobody could predict it. And isn't that what you're asking us to replicate?",Elena_Kagan,18-1447,9,935.19,968.85,935,969,5.419663458394433,0.4571419994728378,0.0006931842028370294,168.66611791365605,184.9972113558172,198.27510177438265,218.73289323986043,1975.5332050244967,100,33.65999999999997
10,"Counsel, that's exactly where I wanted to -- to go, which is, you know, prior to the FSIA, we -- we did have what this Court has described as bedlam in a multifactor balancing test on the convenience of the parties as one thing but also international friction and -- and a sense about foreign -- foreign dignity and all that, which, as Justice Kagan pointed out, was channeled through the State Department. And, here, you're asking us to do it directly. And I -- I -- I guess I'm still struggling with what's the difference between the regime you'd have us create and the regime that Congress clearly wished to displace because it was producing ""bedlam""?",Neil_Gorsuch,18-1447,10,1000.975,1042.835,1001,1043,4.728123735493319,0.032906286690762974,0.0006494657074809775,105.38693220441056,111.27813843321147,112.57112811964524,114.0440654116208,119.53148564529366,117,41.860000000000014
