,Case,Spkr,Start,End,Speech,BERT-GS_Scores
0,18-1447,John_G_Roberts_Jr_,135.90500005,161.165," Mr. Silbert, I want to pick up on that very last thing you said but look at it from a different perspective. What independent role do you think international comity plays, given the fact that you already have whether unchallenged forum non convenience grounds and act of state grounds, what is the independent significance of international comity?
",-1.1487345695495605
1,18-1447,Clarence_Thomas_,226.01999995,244.535," Yes, thank you, Mr. Chief Justice. Counsel, I just and perhaps a somewhat preliminary question and a bit different from the Chief. If we come out if we reverse in the following case, in Germany's, hypothetically, what should we do with your case?
",-1.2039244174957275
2,18-1447,Stephen_G_Breyer_,381.32,421.655," I'd like to to pick up on that last question. One, as the Chief, I think, brought up, how do we know that comity is a separate doctrine rather than, say, a a motivating principle underlying a bunch of other doctrines, like foreign non conveniens and and exhaustion and sovereign immunity and abstention? And if we if it is a separate doctrine, what exactly does it consist of? Do you prefer the Ninth Circuit, which has five factors? I Estreicher and Lee are good international law professors, suggest four factors. And maybe you have some other factors.
",-0.6383832693099976
3,18-1447,Samuel_A_Alito_Jr_,529.87499995,561.44," Section 1606 on which you rely makes a foreign state ""liable in the same manner and to the same extent as a private individual under like circumstances."" The your friend on the other side says this concerns substantive liability rather than threshold federal common law defenses. Why isn't that a a reading that's more faithful to the statutory text?
",-0.519050657749176
4,18-1447,Samuel_A_Alito_Jr_,626.835,646.14000005," One other question. If we were to rule, hypothetically, and this is just hypothetical, that in favor of Germany on the jurisdictional issue, wouldn't the plaintiffs in this case still have an argument based on their claim of denaturalization?
",-1.2622698545455933
5,18-1447,Sonia_Sotomayor_,679.57,707.355," Counsel counsel, I I don't understand how if in the following case hypothetically we were to decide there's no jurisdiction, what power would we have, essentially, to give an advisory opinion on this international comity doctrine? I thought no jurisdiction meant just that, that we don't have the power to decide anything?
",-0.32034218311309814
6,18-1447,Sonia_Sotomayor_,723.42,742.685," I thought that counsel, I understand that principle, but this is something different. We have already decided we have no we would have already decided we have no jurisdiction, so having made that decision, how would this become nothing more than an advisory opinion?
",-0.13479958474636078
7,18-1447,Sonia_Sotomayor_,751.91,783.47," one final point. As I read the record below, it appeared that this prudential international comity doctrine was not really the focus of your argument in briefing. It seemed to me that the focus was on the that Respondents have to exhaust their remedy. This what you've raised before us seems like a very different tact.
",0.044385720044374466
8,18-1447,Elena_Kagan_,820.61,853.685," Mr. Silbert, you've referred a couple of times now to the historical basis of the comity doctrine. There's an amicus brief by Professors Dodge and Gardner that takes you on on that and that says that all the various cases that you've cited fall into one of two categories: some are immunity cases and some are forum non conveniens cases, and that there's really no historical basis for this separate international comity. So I think I'd like you to respond to to that brief.
",-0.9968303442001343
9,18-1447,Elena_Kagan_,935.19,968.85," You said you're not we're not going back to the old immunity doctrine, the one that was supposed to have been displaced by the FSIA, because that was executive-driven. But I would think the fact that it was executive-driven would cut the other way. At least the executive knew something about foreign affairs and were politically accountable. And and it seems like much of the unhappiness about that doctrine had to do with the fact that it was a kind of kitchen sink approach and nobody could predict it. And isn't that what you're asking us to replicate?
",1.0850865840911865
10,18-1447,Neil_Gorsuch_,1000.975,1042.835," Counsel, that's exactly where I wanted to to go, which is, you know, prior to the FSIA, we we did have what this Court has described as bedlam in a multifactor balancing test on the convenience of the parties as one thing but also international friction and and a sense about foreign foreign dignity and all that, which, as Justice Kagan pointed out, was channeled through the State Department. And, here, you're asking us to do it directly. And I I I guess I'm still struggling with what's the difference between the regime you'd have us create and the regime that Congress clearly wished to displace because it was producing ""bedlam""?
",0.6542705297470093
11,18-1447,Neil_Gorsuch_,1103.13,1122.975," I agree with that. So so let me what do we do on a separate but related matter, which is normally we assume that when when when Congress dictates that we shall hear certain classes of cases, that we have a duty to hear those certain classes of cases, and we can't decide not to do it just because it would be inconvenient to us.
",-0.08285553008317947
12,18-1447,Brett_M_Kavanaugh_,1143.315,1170.915," Thank you, Chief Justice. And good morning, Mr. Silbert. On your point that it's easy for courts to apply this, I hear you giving us something of a bright line, that if it's foreign defendants who injured foreign plaintiffs in a foreign country, then abstain. Is that accurate?
",-0.6754942536354065
13,18-1447,Amy_Coney_Barrett_,1287.215,1320.955," Good morning, Mr. Silbert. So you told Justice Sotomayor, when she asked you about the distinction between exhaustion and the comity doctrine that we're talking about this morning, that whether you call it abstention or exhaustion, it means you go to Hungary first, that they're functionally the same thing here or they're very closely related. But, if these plaintiffs had exhausted in Hungary first, I gather from your answer to Justice Kavanaugh that they still could not come here, that the doctrine of international comity that you propose would still be a bar, is that correct?
",-0.7137864828109741
14,18-1447,John_G_Roberts_Jr_,1556.54,1590.48," Mr. Snyder, this question will not surprise you. You you emphasize the significance of the international relations context as a reason for international comity, but your client, the United States, has scrupulously avoided taking a position on what the courts should do given the international relations context. This is the perfect time for you to fill that void. Why why hasn't the government told the courts what the foreign relations impact on the United States is?
",-0.024192415177822113
15,18-1447,Stephen_G_Breyer_,1782.275,1838.045," Well, it's the same question. One of the things Congress seemed to be upset about and wanted to pass the FSIA was contradictory information from State. The American strawberry industry wants to sue the country of Xanadu, run by a terrible dictator, but, in Xanadu, our strawberry industry is being sued by some Xanadu nationals, and State wants to help our industry. Now all I have to do is reverse the situation and they'll want to help them in opposite ways. So depending on who is being sued where, you get a different result when you ask State, is it immediately in our interest or not and how is American industry being hurt or helped? Is that something we should take into account in comity?
",0.41807329654693604
16,18-1447,Samuel_A_Alito_Jr_,1888.365,1921.705," If this doctrine is all about the effect on foreign relations, if I were a district judge and I received a motion asking me to abstain on comity grounds, my first question would be, what does the government of the United States think about the foreign relations impact of this of this lawsuit? So won't you be in the position of having to answer that question every time this doctrine is asserted?
",-0.6933637857437134
17,18-1447,Sonia_Sotomayor_,2011.46,2096.245," Counsel, I understood that the FSIA was passed to remove the pressure on the Department of State to decide whether or not it would grant immunity should be granted or not. I, like my my predecessor colleagues' questions indicate, don't know how that pressure would stop in this situation, but I also don't know why that judgment has all not already been made by Congress, meaning if we accept the argument in Germany that expropriation has to be as an international norm, involve only expropriations of non-nationals and not domestic people and we dismiss that case, or if we rule the other way and we say Congress intended for those suits to be in the United States, that, yes, takings from nationals could have a forum here, I'm not sure how we can substitute the Court could substitute its judgment for Congress.
",0.4062076210975647
18,18-1447,Sonia_Sotomayor_,2131.48,2172.735," Why? So why wouldn't the other doctrines that already exist, like forum non conveniens, take care of virtually any other consideration, would be be addressed? Meaning the issue of foreign relations tension is exactly what the FSIA was intended to the judgment of Congress that in these designated circumstances, those tensions should not lead to immunity. But why should they lead to abstention?
",-0.13094225525856018
19,18-1447,Elena_Kagan_,2229.805,2252.265," I mean, I would think that it's that that's exactly what the State Department would be doing here too. They'd be looking at this particular case, the claims in this case, the alternative forum that Hungary is providing in this case, and they would make a decision. I mean, some might say that what's going on here is that the State Department is expecting the courts to do the difficult and sensitive and some might say dirty work for you.
",0.4525599479675293
20,18-1447,Elena_Kagan_,2278.885,2307.555," Thanks. When I asked Mr. Silbert about the historical basis of this doctrine, he gave me the Belgenland case as his principal case showing that this comity-based doctrine that you're espousing, in fact, has such a basis. In your brief, you call Belgenland an early example of forum non conveniens. So what's your best case, best historical case, for this comity doctrine?
",-1.0061135292053223
21,18-1447,Neil_Gorsuch_,2338.81,2382.61," Mr. Snyder, I guess I'm curious about this: Is is what you're arguing for a broad-based comity abstention doctrine or an exhaustion doctrine? In in response to Justice Kagan, I believe you said that the real confusion for the State Department apparently lies in what remedies would be available in Hungary. That sounds like exhaustion. And Mr. Silbert, in response to Justice Barrett, indicated that after exhausting Hungarian remedies, the plaintiffs would be free to come to the United States subject only to preclusion principles, which have nothing to do with abstention and would apply in domestically normal law. So what what do you say to that? Is is what you're arguing for really just an exhaustion argument?
",-0.3596160411834717
22,18-1447,Neil_Gorsuch_,2420.22,2440.985," Yeah, that that's we do that all the time under the the the rubric of exhaustion, counsel. Okay. Fine. Let's say they have to exhaust. Why, if if if Jewish victims of the Holocaust were deemed non-citizens, stripped of their citizenship at least in Germany, why should they then have to go exhaust remedies elsewhere?
",0.18744055926799774
23,18-1447,Amy_Coney_Barrett_,2581.995,2617.275," Counsel, the doctrine that you're proposing of comity sounds like a little bit of this and a little bit of that. It it incorporates some concepts from exhaustion and also sounds like forum non conveniens. It also sounds like it incorporates some of the same considerations of foreign relations and friction with other countries that are addressed by the Foreign Sovereign Immunities Act itself. So would it subsume the need for some of these other doctrines? Like, what role would forum non conveniens still play if we do adopt the broader comity doctrine that you propose?
",-0.8754028677940369
24,18-1447,John_G_Roberts_Jr_,2959.6,3003.075," Counsel, your your position is categorical. In other words, you don't think the international comity applies in any case. And yet it's given the nature of international relations, it's easy to envision cases where it would seem particularly inappropriate for United States courts to get involved in litigation. I don't know if this is one of them or or not. I mean, is there room for any kind of a safety valve under your theory where the the doctrine is while maybe not available in the normal course, is appropriate in particularly sensitive international relations cases?
",0.2401200830936432
25,18-1447,Stephen_G_Breyer_,3205.355,3246.015," Thank you. A group of victims of apartheid sue maybe they're from Botswana they sue the South African government on a claim that fits within this for taking their property, et cetera. South Africa says: You don't understand. We don't have apartheid anymore, and we have a system for dealing with it. It's called the Truth and Reconciliation committee. Please don't mess up what we're trying to do, Judge, in New York. Dismiss the case or use comity. What's supposed to happen on your theory?
",0.8405123353004456
26,18-1447,Stephen_G_Breyer_,3268.04,3289.38," but my question is, fine, you think it don't exist it doesn't exist. So, when the people from Botswana sue on apartheid the South African government and the South African government says please don't do this, you're going to mess up our Truth and Reconciliation, the answer your first choice is to say, too bad, we go ahead with the suit anyway, is that right?
",0.8928702473640442
27,18-1447,Stephen_G_Breyer_,3352.8,3368.655," Hmm. Okay. Then what I'm doing, I'm reading to you, as you know, Professor Estreicher's four considerations that would go into comity. And so it seems to me that your at least your second choice is you agree with some but not others.
",-0.5469415783882141
28,18-1447,Samuel_A_Alito_Jr_,3430.99,3462.89," Counsel, I think you really do have to choose between two alternatives. Your primary argument is never, this doctrine doesn't exist, there are no circumstances in which a case could be dismissed based on comity abstention. And so, if there were a case at some time in the future where going forward would cause cause grave foreign policy problems, your answer has to be that's just too bad.
",1.0699180364608765
29,18-1447,Samuel_A_Alito_Jr_,3477.77,3521.13," Yeah, but there could be cases that don't where that don't fall within any of these doctrines that could have very serious foreign policy implications. I I mean, your argument might be right, but you have to either you have to say yes, even if it means war, even if it means very serious foreign policy problems, we want you to say never. Or you have your fallback argument, which is, well, maybe if the State Department comes in and says please do not go forward with this, it will cause terrible international repercussions. That's a fallback argument, but that argument negates your primary argument that this doctrine never existed and, therefore, it doesn't exist at this time.
",1.3119240999221802
30,18-1447,Samuel_A_Alito_Jr_,3557.885,3591.55999995," Well, you know, there is the do no harm principle. And the only issue that is before us, assuming that that you would prevail on the jurisdictional question, is whether this doctrine should be whether we should hold that this doctrine doesn't exist at all, can never be invoked under any imaginable circumstances. It could be that this is just a very, very narrow doctrine. All we would need to decide is it does exist in some form.
",0.5428411364555359
31,18-1447,Sonia_Sotomayor_,3670.065,3702.52," Counsel, I'd like to follow up a little bit on Justice Alito's question, but my simple question to you is, again, hypothetically, if we were to rule that there is no international expropriation customary international law for expropriation from a national, do you also believe that we should address this comity issue, notwithstanding that we held there was no jurisdiction?
",-0.98052978515625
32,18-1447,Sonia_Sotomayor_,3738.53,3780.245," All right. Then one follow-up question to this. Assume that we find a never answer to be inappropriate, because we have at least two shipping cases, the Carolina and the Infanta, in which the in which 19th-century courts declined jurisdiction, at least, in part, out of concern for commercial relations between the U.S. and a foreign sovereign. So it does suggest some equity principles or or comity principles that have guided courts in the common law. So, if we never say never, how should we write it --
",-0.12038890272378922
33,18-1447,Elena_Kagan_,3835.385,3866.415," Ms. Harrington, on much the same subject, I mean, just think about these cases particularly. The I think it's not yours, but the Hungary case in the Seventh Circuit which involved very similar claims. It had potential damages amounting to 40 percent of Hungary's GDP. So this is a suit that could essentially bankrupt a foreign nation. Now that seems as though it's screaming severe international friction. Why shouldn't we be able to acknowledge something like that?
",0.557287871837616
34,18-1447,Elena_Kagan_,3920.49,3953.76," That was going to be my next question, Ms. Harrington, because the SG tells us that, if we if we don't recognize this kind of abstention, then the government is going to be hampered in its efforts to encourage the establishment of of redress and compensation mechanisms for human rights violations. And in some countries, that has worked to at least some extent. So what's your answer to the Solicitor General's position on that score? And do you really think that we can treat Hungary differently because those efforts have not succeeded as well?
",-0.10649506002664566
35,18-1447,Neil_Gorsuch_,4063.17,4106.39," Good morning, Ms. Harrington. I'd I'd like to address a slightly different point that you've you've alluded to a couple of times. Normally, takings within a country are are subject to domestic takings laws. You've argued in this suit that the Holocaust and human rights forms an exception to that rule, but you've also pressed the point and alluded to it today that, even if that rule were normally to apply, it it wouldn't here because Germany and perhaps Hungary stripped citizenship from its Jewish victims during the Holocaust. That's a very interesting argument, but it's not developed much in this Court, and I'm just curious why and and what what we should do about it?
",0.32946062088012695
