duration,end,end_idx,file,line,onset_count,onset_rate,onset_time_diff_mean,onset_time_diff_var,pitch_25pct,pitch_2pct,pitch_50pct,pitch_75pct,pitch_98pct,pitch_log_diff_variance,pitch_log_mean,pitch_log_stdev,speaker,speaker_role,start,start_idx,text,word_count,word_rate,BERT-GS_Scores
32.08,158.44,2535040,19-123.wav,2,85.0,2.6496259352,0.3653333333,0.1119136508,181.8190699939,152.6143044824,200.5789474828,223.8455322626,544.8415985661,0.0021259441,5.4178901095,0.3531850206,John_G_Roberts_Jr,scotus_justice,126.36,2021760,"Ms. Windham, this is a case involving free exercise rights, but it's in -- they're in tension with another set of rights, those recognized in our decision in Obergefell. And whatever you think or however you think that tension should be resolved as a matter of government regulation, shouldn't the City get to strike the balance as it wishes when it comes to setting conditions for participating in what is, after all, its foster program?",75,2.337905236907731,-0.033068001300000004
23.32,213.4,3414400,19-123.wav,6,57.0,2.4442538593,0.396,0.1114537143,168.6661179137,155.0438235871,179.2131135274,193.7464921912,463.2582059415,0.0012408006,5.2396067986,0.2154216004,John_G_Roberts_Jr,scotus_justice,190.08,3041280,"-- you don't see any difference in terms of the analysis whether it's simply a regulation, the City issuing a rule that governs across the board, as opposed to part of the rules for participating in a program; in other words, not in its sovereign capacity but in a managerial capacity or, you know, a business capacity?",57,2.444253859348199,-0.722720027
46.56,297.56,4760960,19-123.wav,15,106.0,2.2766323024,0.44068571430000003,0.1417851298,106.406875518,91.5738865031,121.349670438,864.8821267198,1073.8118298828,0.0007182212000000001,5.4753560844999996,0.9776994307,Clarence_Thomas,scotus_justice,251.0,4016000,"Thank you, Mr. Chief Justice. Counsel, following up on the Chief Justice's question, this seems to involve both contractual relationships with the City, as well as, as the Chief said, regulatory or licensing. In that instance, when you have both aspects of that, do we analyze it as a government contract, again, referring back to the Chief's point, or as sort of a licensure program where the City has basically taken over an area and now it has certain requirements of the -- the regulated industry?",86,1.8470790378006872,-1.297272563
70.44,443.44,7095040,19-123.wav,19,175.0,2.4843838728,0.40165517240000004,0.1268173064,167.2117474371,128.6850060714,191.5211239251,264.6655079381,936.8667830496,0.0020818249000000002,5.3909742907,0.40286263650000004,Stephen_G_Breyer,scotus_justice,373.0,5968000,"Yes. Thank you. On pages 45 and 46 of the City's brief, they say that they aren't requiring you to endorse same-sex marriages. They say all they're asking you to do is evaluate a couple without reference to whether they are same-sex or not. You've read that. It says your objection is to being required to evaluate and provide written endorsements of a same-sex relationship. But they aren't saying to do that. Indeed, they say add something onto any response you make and say that you do not endorse same-sex marriages. Say it. You see what it says. So suppose pages 45 and 46 were written right into your contract, allowing you to say whatever you want about same-sex. All they want you to do is evaluate this couple irrespective of same or different sex. What is your religious objection to that?",142,2.015900056785917,0.1301003098
74.92,606.28,9700480,19-123.wav,21,193.0,2.5760811532,0.3833333333,0.13928488890000001,193.7464921912,135.4258854679,249.8151418529,318.3992322369,1399.9879747492,0.0021837175,5.6309518264000005,0.5917557488,Stephen_G_Breyer,scotus_justice,531.36,8501760,"Well, you don't have to say, according to them, whether the couple is married, whether it's not married, whether it's same-sex, whether it's different sex. You just put that to the side, make a note that you're putting it to the side, and say, other than that, they're okay or they're not okay. That's all you have to do. Now what's the problem? I still don't quite see it. You said in your response that you don't want to do it, which I understand that you don't. But they say they're imposing a requirement that does not interfere with your -- they can't figure out how does it interfere. And so we write 45 and 46 right into your contract word for word. And now tell me once again what's the problem. You -- in your last answer, you just said they can't make you say anything. I guess that's true. But we write 45 and 46 and say you can say something if you want, or you don't have to if you don't want to, but just take same-sex, different sex, and put it to the side and say, other than that, are they qualified.",196,2.616123865456487,0.978802979
20.08,661.08,10577280,19-123.wav,24,59.0,2.938247012,0.33544827590000004,0.0631081094,127.8250145654,123.452343444,128.5654973417,130.059356463,131.4493268726,0.0003732686,4.8551548755,0.0192112538,Samuel_A_Alito_Jr,scotus_justice,641.0,10256000,"Let me ask you a couple of questions about what's in the record of this case about the facts of the case. To begin, as far as the record reflects, how many same-sex couples in Philadelphia have been denied the opportunity to be foster parents as a result of Catholic Social Services' policy?",53,2.6394422310756975,-1.8876965046
24.0,761.0,12176000,19-123.wav,30,63.0,2.625,0.3803870968,0.10237043080000001,153.7766927597,125.0067870155,802.3157899312,920.2917946193,1497.1742032735,0.0010086573,6.0108429393,0.9082912492,Samuel_A_Alito_Jr,scotus_justice,737.0,11792000,One of your main arguments concerns a -- the fact that there are exemptions to the generally applicable rules under the City's policy. I'm somewhat uncertain about what the City's final position is about the availability of exemptions. What is your understanding of that?,44,1.8333333333333333,-1.0302815437
31.5,852.0,13632000,19-123.wav,36,72.0,2.2857142857,0.44123943660000003,0.14344409760000001,225.1422562393,190.4180434214,249.0915717265,285.3047020232,368.8113269105,0.0013111491,5.5398170436,0.1668504815,Sonia_Sotomayor,scotus_justice,820.5,13128000,"Counsel, I'm interested in why you see yourself as a licensee as opposed to a government contractor. I understand that many governments throughout the country do these home assessments and certifications internally. They hire employees within the government, they set up criteria, and they're the ones who choose to certify a family or not. So why aren't you any different than a government contractor?",64,2.0317460317460316,-0.5924109221
24.5,898.0,14368000,19-123.wav,42,80.0,3.2653061224,0.30055696200000004,0.1104213607,233.081880759,198.7804840055,266.1986996282,304.0208335929,436.77087339,0.0012170651,5.6034414617,0.19230316890000002,Sonia_Sotomayor,scotus_justice,873.5,13976000,"-- that's no different than deciding -- setting forth criteria to hire someone to do work for you. It's a lovely argument, but I'm having a very hard time accepting how, when the City sets forth a set of criteria, only these people can do this work for me. That's not a license. That's an employment contract.",57,2.326530612244898,0.9795939922
24.84,937.84,15005440,19-123.wav,50,71.0,2.8582930757,0.34925714290000004,0.0992619624,208.8552666091,182.8723371514,238.5299114663,270.8517709359,448.7314484448,0.0023427296,5.5130028940999996,0.23430208600000002,Sonia_Sotomayor,scotus_justice,913.0,14608000,"-- but state -- I mean, we have often permitted and we have a legion of cases with people who are not state actors or agents or actual employees but contractors or people who are -- are being retained to do things for the government where we said the government could set the criteria it wants. Why are you any different?",61,2.4557165861513686,-0.2778431773
